,interviewee_name,shelfmarks
130,Sol Urbach,"[u'USHMM RG-50.233*0139', u'USC Shoah Foundation 8784']"
131,Stefan Czyzewski,"[u'USHMM RG-50.030*0387', u'USHMM RG-50.549.02*0023']"
132,Sulamif S. Zhabinskaya,"[u'USHMM RG-50.030*0399', u'USHMM RG-50.030*0401']"
133,Thomas Buergenthal,"[u'USHMM RG-50.549.03*0001', u'USHMM RG-50.030*0046', u'USHMM RG-50.549.01*0005', u'USHMM RG-50.165*0010']"
134,Thomas T. Blatt,"[u'USHMM RG-50.030*0028', u'USHMM RG-50.549.01*0014']"
135,Tom Lantos,"[u'USHMM RG-50.165*0121', u'USC Shoah Foundation 25591']"
136,Walter Meyer,"[u'USHMM RG-50.030*0371', u'USHMM RG-50.549.02*0041', u'USHMM RG-50.030*0746']"
137,William Denson,"[u'USHMM RG-50.030*0268', u'USC Shoah Foundation 13079']"
138,William Loew,"[u'USHMM RG-50.030*0307', u'USHMM RG-50.549.01*0006']"
139,William Luksenburg,"[u'USHMM RG-50.030*0140', u'USHMM RG-50.106*0102']"
140,William P. Levine,"[u'USHMM RG-50.030*0129', u'USHMM RG-50.031*0040']"
141,William Perl,"[u'USHMM RG-50.030*0443', u'USC Shoah Foundation 24409']"
142,Zelda P. Brodecki,"[u'USHMM RG-50.470*0002', u'USHMM RG-50.549.02*0071', u'USHMM RG-50.030*0041']"
