,collection,shelfmark,testimony_title
53,USHMM,RG-50.030*0423,Oral history interview with Robert Treuer
54,USHMM,RG-50.165*0093,Oral history interview with Manny Ragen and Shirley Ragen
55,USHMM,RG-50.156*0036,Oral history interview with Allen Mastbaum
56,USHMM,RG-50.233*0143,Oral history interview with Eva Young
57,USHMM,RG-50.156*0054,Oral history interview with Maria Speiwak and Danuta Trybus
58,USHMM,RG-50.470*0018,Oral history interview with George Salton
59,USHMM,RG-50.471*0003,Oral history interview with Brigitte Altman
60,USHMM,RG-50.030*0467,Oral history interview with Robert Holczer
61,USHMM,RG-50.405*0028,Oral history interview with Boris G.
62,USHMM,RG-50.030*0076,Oral history interview with Renée Schwalb Fritz
63,USHMM,RG-50.030*0137,Oral history interview with Cornelius Loen
64,USHMM,RG-50.030*0379,Oral history interview with Maria Rosenbloom
65,USHMM,RG-50.165*0021,Oral history interview with Dovid Felberbaum
66,USHMM,RG-50.549.02*0047,Oral history interview with Eva Cooper
67,USHMM,RG-50.656*0001,Oral history interview with Irene Hutton
68,USHMM,RG-50.471*0007,Oral history interview with Abraham Rodstein
69,USHMM,RG-50.030*0444,Oral history interview with Erna Karplus
70,USHMM,RG-50.106*0084,Oral history interview with George Pick
71,USHMM,RG-50.010*0054,Oral history interview with Jesse Lafoon
72,USHMM,RG-50.030*0091,Oral history interview with Hans Heimann
73,USHMM,RG-50.106*0103,Oral history interview with Rose Weisfeld
74,USHMM,RG-50.243*0019,Oral history interview with Berko Kolodnev
75,USHMM,RG-50.165*0098,Oral history interview with Hannah Rozen
76,USHMM,RG-50.154*0006,Oral history interview with Sheila Baxter
77,USHMM,RG-50.233*0136,Oral history interview with George Topas
78,USHMM,RG-50.150*0021,Oral history interview with Curt Jellin
79,USHMM,RG-50.429*0004,Oral history interview with Marty Glickman
80,USHMM,RG-50.549.04*0003,Oral history interview with Esther Dezube
81,USHMM,RG-50.030*0422,Oral history interview with Nicholas Winton
82,USHMM,RG-50.106*0112,Oral history interview with Jacob Wiener
83,USHMM,RG-50.062*0008,Crystal Night oral history interview
84,USHMM,RG-50.165*0072,Oral history interview with Sandy Mayer
85,USHMM,RG-50.106*0086,Oral history interview with Marion Friedman
86,USHMM,RG-50.030*0858,Oral history interview with Joseph Bach
87,USHMM,RG-50.549.02*0068,Oral history interview with Charlene Perlmutter Schiff
88,USHMM,RG-50.233*0106,Oral history interview with Moses Rechnitz
89,USHMM,RG-50.470*0023,Oral history interview with Irene Weber
90,USHMM,RG-50.405*0027,Oral history interview with Betya G.
91,USHMM,RG-50.030*0878,Oral history interview with Al Jaffee
92,USHMM,RG-50.030*0565,Oral history interview with Esia Shor
93,USHMM,RG-50.469*0004,Oral history interview with Sarah Loewy
94,USHMM,RG-50.755*0003,Oral history interview with Robert Braun
95,USHMM,RG-50.471*0016,Oral history interview with Tamar Lazerson
96,USHMM,RG-50.471*0004,Oral history interview with Ivar Segalowitz
97,USHMM,RG-50.028*0005,Oral history interview with Marta Belebczuk
98,USHMM,RG-50.030*0443,Oral history interview with William Perl
99,USHMM,RG-50.150*0045,Oral history interview with Gertrud Wittner
100,USHMM,RG-50.165*0029,Oral history interview with Ben Geizhals and Esther Geizhals
101,USHMM,RG-50.549.02*0030,Oral history interview with Frima L.
102,USHMM,RG-50.655*0001,Oral history interview with Leah Goltzman
103,USHMM,RG-50.470*0014,Oral history interview with Pat Lynch
104,USHMM,RG-50.030*0330,Oral history interview with Frode Jakobsen
105,USHMM,RG-50.030*0064,Oral history interview with Eva Edmands
106,USHMM,RG-50.471*0010,Oral history interview with Jacob Lewin
107,USHMM,RG-50.470*0019,Oral history interview with Richard Seibel
108,USHMM,RG-50.470*0024,Oral history interview with Nick White
109,USHMM,RG-50.156*0021,Oral history interview with Henry Harvey
110,USHMM,RG-50.030*0583,Oral history interview with Harry Iticovici
111,USHMM,RG-50.165*0128,Oral history interview with M.D. Weinstock
112,USHMM,RG-50.030*0336,Oral history interview with Theodore Feder and Herbert Katzki
113,USHMM,RG-50.243*0018,Oral history interview with Mania Kohn
114,USHMM,RG-50.030*0203,Oral history interview with Charlene Perlmutter Schiff
115,USHMM,RG-50.462*0043,Oral history interview with Edith Millman
116,USHMM,RG-50.030*0504,Oral history interview with Ernest Culman
117,USHMM,RG-50.030*0662,Oral history interview with Lester Libo
118,USHMM,RG-50.060*0045,Oral history interview with Samuel Rosen
119,USHMM,RG-50.030*0062,Oral history interview with Leif Donde
120,USHMM,RG-50.030*0277,Oral history interview with Siegfried Warter
121,USHMM,RG-50.405*0007,Oral history interview with Greta Etingen
122,USHMM,RG-50.470*0015,Oral history interview with William McWorkman
123,USHMM,RG-50.042*0002,Oral history interview with Agnes Mandl Adachi
124,USHMM,RG-50.005*0022,Oral history interview with Ruth Halbreich
125,USHMM,RG-50.150*0033,Oral history interview with Kurt Schloss
126,USHMM,RG-50.156*0028,Oral history interview with Hinda Kibort
127,USHMM,RG-50.030*0428,Oral history interview with Mel London
128,USHMM,RG-50.030*0505,Oral history interview with Irena Veisaite
129,USHMM,RG-50.165*0045,Oral history interview with Leah Henson
130,USHMM,RG-50.030*0251,Oral history interview with Gerda Blachmann Wilchfort
131,USHMM,RG-50.030*0219,Oral history interview with Drexel Sprecher
132,USHMM,RG-50.106*0165,Oral history interview with Andrew Glass
133,USHMM,RG-50.030*0314,Oral history interview with Louis Walinsky
134,USHMM,RG-50.030*0298,Oral history interview with Dov Levin
135,USHMM,RG-50.030*0590,Oral history interview with Frida Ruderman
136,USHMM,RG-50.030*0056,Oral history interview with Eva Brust Cooper
137,USHMM,RG-50.405*0018,Oral history interview with Mark Friedgan
138,USHMM,RG-50.243*0013,Oral history interview with Rachel Helfgot
139,USHMM,RG-50.322*0008,Oral history interview with John Farnbacher
140,USHMM,RG-50.462*0041,Oral history interview with Samuel Makower
141,USHMM,RG-50.156*0052,Oral history interview with Max Schwartz
142,USHMM,RG-50.030*0601,Oral history interview with Hanny Leitson
143,USHMM,RG-50.043*0002,Oral history interview with Gloria Fredkove
144,USHMM,RG-50.030*0269,Oral history interview with Benjamin B. Ferencz
145,USHMM,RG-50.030*0047,Oral history interview with Josef
146,USHMM,RG-50.030*0338,Oral history interview with Simon Federman
147,USHMM,RG-50.106*0116,Oral history interview with Regina Spiegel
148,USHMM,RG-50.106*0166,Oral history interview with Renate Fischer Chernoff
149,USHMM,RG-50.471*0015,Oral history interview with Esther Lurie
150,USHMM,RG-50.106*0148,Oral history interview with Erika Eckstut
151,USHMM,RG-50.405*0049,Oral history interview with Lilian Shafran
152,USHMM,RG-50.471*0014,Oral history interview with Pnina Tory
153,USHMM,RG-50.156*0059,Oral history interview with Jules Zaidenweber
154,USHMM,RG-50.012*0090,Oral history interview with Arie Verduijn
155,USHMM,RG-50.030*0431,Oral history interview with Raya Markon
156,USHMM,RG-50.030*0530,Oral history interview with Fred Jarvis
157,USHMM,RG-50.405*0021,Oral history interview with Vladimir Gekhter
158,USHMM,RG-50.462*0040,Oral history interview with Ruth (Renee) Hartz
159,USHMM,RG-50.030*0069,Oral history interview with Sheila Perec Etons Bernard
160,USHMM,RG-50.042*0017,Oral history interview with Stefa Kupfer
161,USHMM,RG-50.030*0360,Oral history interview with Alice Eberstarkova Masters
162,USHMM,RG-50.030*0201,Oral history interview with Ruth Salton
163,USHMM,RG-50.030*0059,Oral history interview with Hetty d'Ancona de Leeuwe
164,USHMM,RG-50.030*0789,Oral history interview with Jolanta Pawlikowski
165,USHMM,RG-50.322*0020,Oral history interview with Paul Leeser
166,USHMM,RG-50.233*0048,Oral history interview with Gerald Grossman
167,USHMM,RG-50.150*0004,Oral history interview with Hannah Eisner
168,USHMM,RG-50.165*0102,Oral history interview with Albert Schimel and Helen Schimel
169,USHMM,RG-50.150*0026,Oral history interview with Ilse Marcus
170,USHMM,RG-50.233*0075,Oral history interview with Arlette de Long
171,USHMM,RG-50.045*0016,Oral history interview with Jack Oran
172,USHMM,RG-50.030*0593,Oral history interview with Erica Kanter
173,USHMM,RG-50.470*0013,Oral history interview with John Komski
174,USHMM,RG-50.030*0507,Oral history interview with Betsy Cohen
175,USHMM,RG-50.106*0145,Oral history interview with Werner Katzenstein
176,USHMM,RG-50.030*0229,Oral history interview with Eugenia Blau Szamosi
177,USHMM,RG-50.030*0405,Oral history interview with Lidia Siciarz
178,USHMM,RG-50.030*0555,Oral history interview with Harry Merin
179,USHMM,RG-50.106*0170,Oral history interview with David Brombart
180,USHMM,RG-50.156*0016,Oral history interview with Edith Goodman
181,USHMM,RG-50.030*0569,Oral history interview with Rita Penn
182,USHMM,RG-50.030*0425,Oral history interview with Jacob Wiener
183,USHMM,RG-50.549.02*0050,Oral history interview with Carla Lessing
184,USHMM,RG-50.549.01*0010,Oral history interview with Edwarda Rorat
185,USHMM,RG-50.549.02*0034,Oral history interview with Fred Deutsch
186,USHMM,RG-50.030*0745,"Oral history interview with Frank Towers, ""The Death Train at Farsleben"""
187,USHMM,RG-50.030*0390,Oral history interview with Joseph Elman
188,USHMM,RG-50.028*0050,Oral history interview with George Reuter
189,USHMM,RG-50.156*0057,Oral history interview with Fred Wildauer
190,USHMM,RG-50.030*0678,Oral history interview with Raymond Turgel
191,USHMM,RG-50.165*0036,Oral history interview with Isaac Goodfriend and Betty Goodfriend
192,USHMM,RG-50.405*0022,Oral history interview with Isaac Ginsburg
193,USHMM,RG-50.030*0331,Oral history interview with Harold Zissman
194,USHMM,RG-50.030*0554,Oral history interview with William Zdzislaw Kisielewski
195,USHMM,RG-50.060*0025,Oral history interview with Anna Koenig
196,USHMM,RG-50.549.03*0004,Oral history interview with Norman Salsitz
197,USHMM,RG-50.233*0049,Oral history interview with Robert Gruber
198,USHMM,RG-50.549.02*0051,Oral history interview with Edward Lessing
199,USHMM,RG-50.549.01*0015,Oral history interview with Anny Kast
200,USHMM,RG-50.562*0004,Oral history interview with Janine Oberrotman
201,USHMM,RG-50.030*0695,Oral history interview with Paul Jonas
202,USHMM,RG-50.405*0030,Oral history interview with Eleanor Khazan
203,USHMM,RG-50.106*0134,Oral history interview with Martin Weiss
204,USHMM,RG-50.154*0008,Oral history interview with Jacob Brodman
205,USHMM,RG-50.030*0722,Oral history interview with Matilda Bakker
206,USHMM,RG-50.010*0026,Oral history interview with Roy W. Dodd
207,USHMM,RG-50.405*0032,Oral history interview with Victor M.
208,USHMM,RG-50.156*0040,Oral history interview with Rose Meyerhoff
209,USHMM,RG-50.030*0754,Oral history interview with Eric Simon
210,USHMM,RG-50.030*0412,Oral history interview with Sophie Koper
211,USHMM,RG-50.405*0047,Oral history interview with Alex Umantsev
212,USHMM,RG-50.233*0066,Oral history interview with Anthony Lazar
213,USHMM,RG-50.462*0048,Oral history interview with Lillian Steinig
214,USHMM,RG-50.028*0038,Oral history interview with Lari Manolovich
215,USHMM,RG-50.154*0031,Oral history interview with Anita Weinberg
216,USHMM,RG-50.469*0006,Oral history interview with Erwin Weissman
217,USHMM,RG-50.470*0006,Oral history interview with Nesse Godin
218,USHMM,RG-50.030*0788,Oral history interview with Witold Pawlikowski
219,USHMM,RG-50.322*0010,Oral history interview with Robert Feist
220,USHMM,RG-50.462*0086,Oral history interview with Rachel Hochhauser
221,USHMM,RG-50.030*0448,Oral history interview with Anne Herzog Resnik
222,USHMM,RG-50.549.02*0016,Oral history interview with Leo Bretholz
223,USHMM,RG-50.154*0018,Oral history interview with Kurt Marburg
224,USHMM,RG-50.322*0018,Oral history interview with Eugene Krauss
225,USHMM,RG-50.165*0042,Oral history interview with Samuel Halpern
226,USHMM,RG-50.030*0508,Oral history interview with Joseph Gurwin
227,USHMM,RG-50.030*0549,Oral history interview with Sonja DuBois
228,USHMM,RG-50.156*0051,Oral history interview with Siva Scheer
229,USHMM,RG-50.549.01*0002,Oral history interview with Agnes Mandl Adachi
230,USHMM,RG-50.156*0045,Oral history interview with Donald Nost
231,USHMM,RG-50.030*0528,Oral history interview with Henry Gallant
232,USHMM,RG-50.030*0485,Oral history interview with Grigory Liberchuk
233,USHMM,RG-50.156*0007,Oral history interview with Mary Ackos Calof and Evelyn Ackos Ettinger
234,USHMM,RG-50.030*0195,Oral history interview with Yaffa Rosenthal
235,USHMM,RG-50.233*0115,Oral history interview with Eva Roth
236,USHMM,RG-50.030*0544,Oral history interview with Norbert Krasnosielski
237,USHMM,RG-50.322*0033,Oral history interview with Murray Weisman
238,USHMM,RG-50.030*0402,Oral history interview with Ruth Zellner
239,USHMM,RG-50.165*0118,Oral history interview with Frederick Terna
240,USHMM,RG-50.156*0046,Oral history interview with Henry Oertelt
241,USHMM,RG-50.030*0235,Oral history interview with Pnina Tory
242,USHMM,RG-50.030*0752,Oral history interview with Jacques Ribons
243,USHMM,RG-50.462*0001,Oral history interview with Per Anger
244,USHMM,RG-50.030*0169,Oral history interview with Judah Nadich
245,USHMM,RG-50.106*0063,Oral history interview with Arlette de Long
246,USHMM,RG-50.030*0311,Oral history interview with Jack Ahrens
247,USHMM,RG-50.469*0002,Oral history interview with Herta Gelber
248,USHMM,RG-50.165*0100,Oral history interview with Benjamin Rubinstein and Judy Rubinstein
249,USHMM,RG-50.106*0006,Oral history interview with Adriana Pacifici
250,USHMM,RG-50.030*0071,Oral history interview with William Farkas
251,USHMM,RG-50.030*0859,Oral history interview with Irena Bach
252,USHMM,RG-50.030*0377,Oral history interview with Steven Galezewski
253,USHMM,RG-50.156*0019,Oral history interview with Edward Grossman
254,USHMM,RG-50.106*0108,Oral history interview with Wallace Witkowski
255,USHMM,RG-50.030*0057,Oral history interview with Stephen Dachi
256,USHMM,RG-50.233*0069,Oral history interview with Emmi Lehner
257,USHMM,RG-50.030*0420,Oral history interview with King Michael I of Romania
258,USHMM,RG-50.462*0013,Oral history interview with Mina Kalter
259,USHMM,RG-50.322*0026,Oral history interview with Ben Muler
260,USHMM,RG-50.165*0033,Oral history interview with Israel Goldman and Louis Goldman
261,USHMM,RG-50.165*0062,"Oral history interview with Yisroel Leifer, Izzy Raab, and Esther Raab"
262,USHMM,RG-50.106*0082,Oral history interview with Gerald Schwab
263,USHMM,RG-50.030*0697,Oral history interview with Goldie Buch Jonas
264,USHMM,RG-50.165*0129,Oral history interview with Ina Weiss
265,USHMM,RG-50.030*0027,Oral history interview with Isaac Bitton
266,USHMM,RG-50.028*0052,Oral history interview with Joseph Schoen and Mary Schoen
267,USHMM,RG-50.030*0085,Oral history interview with Morris Gordon
268,USHMM,RG-50.549.05*0001,Oral history interview with Robert Holczer
269,USHMM,RG-50.030*0499,Oral history interview with Zdenko John Bergl
270,USHMM,RG-50.030*0243,Oral history interview with Herman Wajcman
271,USHMM,RG-50.165*0081,Oral history interview with Sam Natansohn and Sidi Natansohn
272,USHMM,RG-50.165*0006,Oral history interview with Reva Bernstein
273,USHMM,RG-50.165*0103,Oral history interview with Joe Schlesinger and Edith Schlesinger
274,USHMM,RG-50.233*0051,Oral history interview with Laura Gruenbaum
275,USHMM,RG-50.156*0006,Oral history interview with Felicia Broh
276,USHMM,RG-50.156*0034,Oral history interview with Kurt Loewenthal
277,USHMM,RG-50.165*0004,Oral history interview with Morris Berkowitz and Sarah Berkowitz
278,USHMM,RG-50.755*0009,Oral history interview with Henny Wenkart
279,USHMM,RG-50.030*0102,Oral history interview with Anny Rubinstein Kast
280,USHMM,RG-50.156*0031,Oral history interview with William Landgren
281,USHMM,RG-50.471*0001,Oral history interview with David Levine
282,USHMM,RG-50.030*0293,Oral history interview with Lucine Horn
283,USHMM,RG-50.233*0044,Oral history interview with Sabina Green
284,USHMM,RG-50.322*0011,Oral history interview with Robert Feist and Ruth Feist
285,USHMM,RG-50.030*0084,Oral history interview with Werner Goldsmith
286,USHMM,RG-50.778*0001,Oral history interview with Bea Kandell
287,USHMM,RG-50.010*0025,Oral history interview with Edward John di Gilio
288,USHMM,RG-50.030*0737,Oral history interview with Stanley Kiersnowski
289,USHMM,RG-50.150*0003,Oral history interview with Paula Ehrenberg
290,USHMM,RG-50.150*0009,Oral history interview with Miriam Gerber
291,USHMM,RG-50.154*0028,Oral history interview with Herbert Treitel
292,USHMM,RG-50.030*0170,Oral history interview with Johanna Neumann
293,USHMM,RG-50.030*0204,Oral history interview with Henry Schmelzer
294,USHMM,RG-50.322*0004,Oral history interview with Donald Bender
295,USHMM,RG-50.156*0015,Oral history interview with Peter Gersch
296,USHMM,RG-50.462*0005,Oral history interview with Susan Faulkner
297,USHMM,RG-50.156*0017,Oral history interview with Max Goodman
298,USHMM,RG-50.156*0013,Oral history interview with Robert Fisch
299,USHMM,RG-50.549.02*0037,Oral history interview with Jack Ahrens
300,USHMM,RG-50.549.02*0078,Oral history interview with Lucie Rosenberg
301,USHMM,RG-50.030*0284,Oral history interview with Saul Sorrin
302,USHMM,RG-50.030*0548,Oral history interview with José Coltof
303,USHMM,RG-50.012*0040,Oral history interview with Christine Hilsum
304,USHMM,RG-50.030*0221,Oral history interview with Adam Starkopf and Pela Starkopf
305,USHMM,RG-50.549.02*0019,Oral history interview with Barbara Rodbell
306,USHMM,RG-50.060*0050,Oral history interview with Henry Sontag
307,USHMM,RG-50.462*0070,Oral history interview with Nathan Snyder
308,USHMM,RG-50.030*0595,Oral history interview with Herbert Friedman
309,USHMM,RG-50.030*0735,Oral history interview with Sol Kohn
310,USHMM,RG-50.030*0605,Oral history interview with Lore J. Schore
311,USHMM,RG-50.154*0009,Oral history interview with Paula Epstein
312,USHMM,RG-50.462*0014,Oral history interview with Inge Karo
313,USHMM,RG-50.154*0013,Oral history interview with Jerome Goldman
314,USHMM,RG-50.030*0484,Oral history interview with Claudia Royter Liberchuk
315,USHMM,RG-50.562*0002,Oral history interview with Alan Kalish
316,USHMM,RG-50.030*0543,Oral history interview with Feiga Hollenberg Connors
317,USHMM,RG-50.030*0255,Oral history interview with Fred R. Wohl
318,USHMM,RG-50.030*0264,Oral history interview with Liny Pajgin Yollick
319,USHMM,RG-50.010*0015,Oral history interview with Zew Budansky
320,USHMM,RG-50.030*0375,Oral history interview with Miriam Kabacznik Shulman
321,USHMM,RG-50.030*0111,Oral history interview with Elizabeth Kaufmann Koenig
322,USHMM,RG-50.405*0019,Oral history interview with Anna Gekhter
323,USHMM,RG-50.549.05*0004,Oral history interview with Abram Jakubowicz
324,USHMM,RG-50.165*0132,Oral history interview with Jack Werber and Millie Werber
325,USHMM,RG-50.106*0171,Oral history interview with Gunter Haimann
326,USHMM,RG-50.106*0125,Oral history interview with Ruth Rosicka
327,USHMM,RG-50.030*0309,Oral history interview with Erika Reiss Kinel
328,USHMM,RG-50.549.04*0004,Oral history interview with Shelly Rothschild-Sherwin
329,USHMM,RG-50.030*0537,Oral history interview with Paula Goldlust Blue
330,USHMM,RG-50.549.02*0062,Oral history interview with Harold Zissman
331,USHMM,RG-50.030*0332,Oral history interview with Sonia Heidocovsky Zissman
332,USHMM,RG-50.549.01*0011,Oral history interview with Bella Tovey
333,USHMM,RG-50.030*0155,Oral history interview with Hans Meier
334,USHMM,RG-50.030*0513,Oral history interview with Sarah Zelazny
335,USHMM,RG-50.030*0784,Oral history interview with Adam Szymel
336,USHMM,RG-50.471*0008,Oral history interview with Miriam Gershwin
337,USHMM,RG-50.106*0111,Oral history interview with Lena Gitter
338,USHMM,RG-50.030*0001,Oral history interview with David A. Kochalski
339,USHMM,RG-50.165*0056,Oral history interview with Isaac Kowalski and Masha Kowalski
340,USHMM,RG-50.243*0005,Oral history interview with Eugenia Boroff
341,USHMM,RG-50.030*0449,Oral history interview with Seymour Rubin
342,USHMM,RG-50.462*0089,Oral history interview with Fred Kulick
343,USHMM,RG-50.165*0051,Oral history interview with Robert Karras
344,USHMM,RG-50.755*0006,Oral history interview with Klara Lee
345,USHMM,RG-50.322*0007,Oral history interview with Helene Erman
346,USHMM,RG-50.010*0095,Oral history interview with Dennis Wile
347,USHMM,RG-50.030*0074,Oral history interview with Herbert Friedman
348,USHMM,RG-50.030*0291,Oral history interview with Enrique Don
349,USHMM,RG-50.165*0135,Oral history interview with Frieda Wolff
350,USHMM,RG-50.154*0003,Oral history interview with Lily Baron
351,USHMM,RG-50.165*0024,Oral history interview with Irene Fishman
352,USHMM,RG-50.926*0002,Oral history interview with Claudia Cords-Damon
353,USHMM,RG-50.549.02*0043,Oral history interview with Liane Reif-Lehrer
354,USHMM,RG-50.322*0001,Oral history interview with Helen Abramovitz
355,USHMM,RG-50.405*0016,Oral history interview with Alex Friedgan
356,USHMM,RG-50.549.05*0014,Oral history interview with Paul Schlisser
357,USHMM,RG-50.154*0023,Oral history interview with Alice Ruda
358,USHMM,RG-50.106*0109,Oral history interview with Lena Jurand
359,USHMM,RG-50.405*0042,Oral history interview with Vladimir Reznikov
360,USHMM,RG-50.106*0058,Oral history interview with Joan Schwab
361,USHMM,RG-50.030*0591,Oral history interview with Blanche Hall
362,USHMM,RG-50.002*0015,Oral history interview with Rae Kushner
363,USHMM,RG-50.030*0473,Oral history interview with Julian Bussgang
364,USHMM,RG-50.106*0176,Oral history interview with Melvin Galun
365,USHMM,RG-50.030*0541,Oral history interview with Lili Brody-Carmosino
366,USHMM,RG-50.030*0202,Oral history interview with Pierre Sauvage
367,USHMM,RG-50.042*0015,Oral history interview with Kurt Klein
368,USHMM,RG-50.549.05*0005,Oral history interview with Ann Klein
369,USHMM,RG-50.233*0103,Oral history interview with Jack Polak
370,USHMM,RG-50.030*0781,Oral history interview with Sabina Berggren
371,USHMM,RG-50.030*0451,Oral history interview with Edward Anders
372,USHMM,RG-50.030*0382,Oral history interview with William Zeck and Belle Mayer Zeck
373,USHMM,RG-50.405*0031,Oral history interview with Stan Khazan
374,USHMM,RG-50.322*0025,Oral history interview with Lydia May
375,USHMM,RG-50.030*0685,Oral history interview with Arvydas J. Kliore
376,USHMM,RG-50.106*0175,Oral history interview with Anita Etzyon
377,USHMM,RG-50.322*0032,Oral history interview with Abe Stine
378,USHMM,RG-50.010*0032,Oral history interview with Ari Falik
379,USHMM,RG-50.030*0419,Oral history interview with Ernest Loewenstein
380,USHMM,RG-50.030*0676,Oral history interview with Suzanne Coppel
381,USHMM,RG-50.030*0608,Oral history interview with Algimantas Gureckas
382,USHMM,RG-50.030*0592,Oral history interview with Harry Ebert
383,USHMM,RG-50.030*0502,Oral history interview with Budd Schulberg
384,USHMM,RG-50.429*0005,Oral history interview with Margaret Lambert
385,USHMM,RG-50.031*0061,Oral history interview with Ruth Rehbock and Ralph Rehbock
386,USHMM,RG-50.156*0039,Oral history interview with William McConahey
387,USHMM,RG-50.106*0113,Oral history interview with Riane Gruss
388,USHMM,RG-50.165*0043,Oral history interview with Shmuel Halpern
389,USHMM,RG-50.030*0143,Oral history interview with Joseph Maier
390,USHMM,RG-50.471*0002,Oral history interview with Celia Yewlow
391,USHMM,RG-50.549.02*0054,Oral history interview with Amalie Salsitz
392,USHMM,RG-50.156*0042,Oral history interview with Edmund Motzko
393,USHMM,RG-50.030*0791,Oral history interview with Stella Tobis
394,USHMM,RG-50.549.01*0017,Oral history interview with Anita Frank
395,USHMM,RG-50.030*0156,Oral history interview with Klaus Meier
396,USHMM,RG-50.030*0217,Oral history interview with Stanislaw Soszynski
397,USHMM,RG-50.030*0506,Oral history interview with Robert A. Belfer
398,USHMM,RG-50.029*0020,Oral history interview with Fritz Gluckstein
399,USHMM,RG-50.233*0137,Oral history interview with Jack Trompettor
400,USHMM,RG-50.030*0242,Oral history interview with Frida Adler Wallenstein
401,USHMM,RG-50.030*0471,Oral history interview with Lucie Sternberg Rosenberg
402,USHMM,RG-50.030*0603,Oral history interview with Eva Yachnes
403,USHMM,RG-50.405*0029,Oral history interview with Lena Goryunov
404,USHMM,RG-50.462*0083,Oral history interview with Werner Glass
405,USHMM,RG-50.005*0037,Oral history interview with Beba Leventhal
406,USHMM,RG-50.030*0553,Oral history interview with Ellen Kaidanow
407,USHMM,RG-50.322*0002,Oral history interview with Carmen Appell
408,USHMM,RG-50.755*0002,Oral history interview with Paul Beller
409,USHMM,RG-50.030*0019,Oral history interview with Frieda Belinfante
410,USHMM,RG-50.106*0120,Oral history interview with Romana Koplewicz
411,USHMM,RG-50.030*0594,Oral history interview with John H. Lang
412,USHMM,RG-50.030*0751,Oral history interview with Sara Sherman
413,USHMM,RG-50.030*0557,Oral history interview with Ira Segalewitz
